evaluations raw_y
1 53.0000000000
3 54.0000000000
4 55.0000000000
7 56.0000000000
9 57.0000000000
11 58.0000000000
14 59.0000000000
16 60.0000000000
17 61.0000000000
19 62.0000000000
23 63.0000000000
24 64.0000000000
27 65.0000
36 69.0000000000
42 70.0000000000
45 71.0000000000
49 72.0000000000
50 73.0000000000
51 74.0000000000
53 75.0000000000
55 76.0000000000
61 77.0000000000
64 78.0000000000
71 79.0000000000
76 80.0000000000
82 81.0000000000
84 82.0000000000
86 83.0000000000
97 84.0000000000
100 85.0000000000
108 86.0000000000
113 87.0000000000
120 88.0000000000
129 89.0000000000
131 90.0000000000
146 91.0000000000
151 92.0000000000
176 93.0000000000
189 94.0000000000
198 95.0000000000
240 96.0000000000
242 97.0000000000
311 98.0000000000
374 99.0000000000
428 100.0000000000
