seed,best_objective,max_correct_ever,target_hit,target_evaluation,final_test_mean,final_test_best,final_test_max_correct,p_local_optimum,p_global_optimum
42,75,88,false,,74.999268,75,75,0.999329,0
43,75,86,false,,73.913147,75,76,0.024109,0
44,75,86,false,,74.987122,75,76,0.996826,0
45,75,86,false,,74.989014,75,76,0.998352,0
46,75,86,false,,74.987488,75,76,0.997498,0
47,75,88,false,,74.958496,75,76,0.987061,0
48,75,86,false,,74.984985,75,76,0.995850,0
49,75,86,false,,74.967468,75,76,0.983948,0
50,75,87,false,,70.490601,75,79,0.027161,0
51,75,86,false,,74.986572,75,76,0.996033,0
