seed,baseline_best_cost,kl_best_cost,kl_minus_baseline_best,baseline_final_mean_cost,kl_final_mean_cost,baseline_retention_loss,kl_retention_loss,baseline_unique,kl_unique
42,2848,2822,-26,2948.025390625,2898.146484375,100,76,6,11
43,2794,2784,-10,2840.0234375,2804.14892578125,46,20,4,8
44,2788,2760,-28,2854.015380859375,2816.1064453125,66,56,4,9
45,2742,2850,108,2826.025146484375,2878.2197265625,84,28,3,12
46,2860,2774,-86,2934.00048828125,2842.09326171875,74,68,2,10
47,2792,2796,4,2878.01025390625,2886.122314453125,86,90,4,17
48,2766,2772,6,2776.048095703125,2804.244384765625,10,32,6,12
49,2808,2788,-20,2946.0166015625,2788.1328125,138,0,6,13
50,2796,2848,52,2818.0,2848.11328125,22,0,1,11
51,2864,2754,-110,2898.0205078125,2816.11279296875,34,62,6,9
