seed,best_cost,best_gap_percent,best_found_eval,target_hit,target_eval,best_validation_epoch,best_validation_mean,final_mean_cost,final_mean_gap_percent,final_best_cost,final_best_gap_percent,final_optimum_fraction,final_unique_permutations,final_unique_fraction,training_objective_evaluations
42,2848.0,10.817120552062988,380830,False,,2600,2948.0400390625,2948.025390625,14.709159851074219,2948.0,14.708171844482422,0.0,6,0.0003662109375,3317760
43,2794.0,8.715953826904297,782563,False,,2000,2840.0,2840.0234375,10.50674819946289,2840.0,10.505836486816406,0.0,4,0.000244140625,3317760
44,2788.0,8.482490539550781,750472,False,,1250,2854.0,2854.015380859375,11.051182746887207,2854.0,11.050583839416504,0.0,4,0.000244140625,3317760
45,2742.0,6.6926069259643555,749357,False,,1450,2826.0,2826.025146484375,9.962067604064941,2826.0,9.961089134216309,0.0,3,0.00018310546875,3317760
46,2860.0,11.284046173095703,756593,False,,1250,2934.0,2934.00048828125,14.163443565368652,2934.0,14.163424491882324,0.0,2,0.0001220703125,3317760
47,2792.0,8.638132095336914,907807,False,,2250,2878.0,2878.01025390625,11.984834671020508,2878.0,11.984435081481934,0.0,4,0.000244140625,3317760
48,2766.0,7.626459121704102,880070,False,,1400,2776.0,2776.048095703125,8.017436027526855,2776.0,8.01556396484375,0.0,6,0.0003662109375,3317760
49,2808.0,9.260700225830078,417102,False,,1950,2946.0,2946.0166015625,14.630995750427246,2946.0,14.630350112915039,0.0,6,0.0003662109375,3317760
50,2796.0,8.793774604797363,467334,False,,2200,2818.0,2818.0,9.649806022644043,2818.0,9.649806022644043,0.0,1,6.103515625e-05,3317760
51,2864.0,11.439688682556152,719796,False,,1300,2898.0,2898.0205078125,12.763443946838379,2898.0,12.762646675109863,0.0,6,0.0003662109375,3317760
