seed,realnvp_best_ever,realnvp_test_best,realnvp_test_mean,realnvp_best_validation_epoch,inversion_best,inversion_gap_percent,inversion_best_found_eval,inversion_target_hit,inversion_target_hit_eval
42,3.513669,3.569530,3.569783,2000,3.573708,1.7087,977,false,
43,3.522437,3.522437,3.522511,1850,3.522437,0.2496,487,false,
44,3.513669,3.591417,3.591666,1950,3.522437,0.2496,1069,false,
45,3.522437,3.583315,3.583589,1900,3.522437,0.2496,631,false,
46,3.522438,3.583315,3.583600,1750,3.513669,0.0000,612,true,612
47,3.522437,3.758675,3.767332,2000,3.513669,0.0000,339,true,339
48,3.522437,3.583315,3.583641,1750,3.513669,0.0000,477,true,477
49,3.522438,4.046880,4.047307,2000,3.522437,0.2496,789,false,
50,3.513669,3.573708,3.574382,1950,3.522437,0.2496,1075,false,
51,4.189561,4.194192,4.194551,2000,3.513669,0.0000,212,true,212
